original,male,female
"I couldn't be a soldier, no one would be afraid of me.","Nemohol by som byť vojakom, nikto by sa ma nebál.","Nemohla by som byť vojakom, nikto by sa ma nebál."
I'm self-assured in my abilities.,Som si istý svojimi schopnosťami.,Som si istá svojimi schopnosťami.
I felt so beautiful.,Cítil som sa tak krásne.,Cítila som sa tak krásne.
I like to have deep and meaningful conversations.,Rád vediem hlboké a zmysluplné rozhovory.,Rada vediem hlboké a zmysluplné rozhovory.
I got mad because their food looked tastier.,"Nahneval som sa, pretože ich jedlo vyzeralo chutnejšie.","Nahnevala som sa, pretože ich jedlo vyzeralo chutnejšie."
I felt better when they came over.,"Cítil som sa lepšie, keď prišli.","Cítila som sa lepšie, keď prišli."
"I offered you a ride, no need to worry.","Ponúkol som ti odvoz, nemusíš sa báť.","Ponúkla som ti odvoz, nemusíš sa báť."
I always felt like a natural leader.,Vždy som sa cítil ako prirodzený vodca.,Vždy som sa cítila ako prirodzený vodca.
I am open to any challenge.,Som otvorený akejkoľvek výzve.,Som otvorená akejkoľvek výzve.
"I'm the head of this family so I believe I had to cover our basic needs, such as food, shelter and clothing.","Som hlavou tejto rodiny, takže verím, že som musel pokryť naše základné potreby, ako je jedlo, prístrešie a oblečenie.","Som hlavou tejto rodiny, takže verím, že som musela pokryť naše základné potreby, ako je jedlo, prístrešie a oblečenie."
I am always happy to listen to constructive criticism.,Vždy si rád vypočujem konštruktívnu kritiku.,Vždy si rada vypočujem konštruktívnu kritiku.
I've never been afraid of other people's talk.,Nikdy som sa nebál reči iných ľudí.,Nikdy som sa nebála reči iných ľudí.
I always had a lot of sexual fantasies.,Vždy som mal veľa sexuálnych fantázií.,Vždy som mala veľa sexuálnych fantázií.
I stepped into the arena with a brave face and no fear in my heart.,Do arény som vstúpil s odvážnou tvárou a bez strachu v srdci.,Do arény som vstúpila s odvážnou tvárou a bez strachu v srdci.
I like to give young people a chance.,Rád dávam šancu mladým ľuďom.,Rada dávam šancu mladým ľuďom.
I made impulsive decisions while under stress.,V strese som robil impulzívne rozhodnutia.,V strese som urobila impulzívne rozhodnutia.
I was focused on making money when the kids were little.,"Keď boli deti malé, sústredil som sa na zarábanie peňazí.","Keď boli deti malé, zameriavala som sa na zarábanie peňazí."
I carefully reviewed the product specifications before buying it.,Pred kúpou som si dôkladne preštudoval špecifikácie produktu.,Pred kúpou som si dôkladne preštudovala špecifikácie produktu.
I had a meeting with foreign sponsors.,Mal som stretnutie so zahraničnými sponzormi.,Mala som stretnutie so zahraničnými sponzormi.
Why would I have to be careful?,Prečo by som si mal dávať pozor?,Prečo by som si mala dávať pozor?
I built everything with my own hands and brain.,Všetko som postavil vlastnými rukami a mozgom.,Všetko som postavila vlastnými rukami a mozgom.
I used to watch a lot of documentaries about esoteric stuff.,Pozeral som veľa dokumentov o ezoterických veciach.,Pozerala som veľa dokumentov o ezoterických veciach.
I entered an amateur weightlifting competition.,Prihlásil som sa na amatérsku súťaž vo vzpieraní.,Prihlásila som sa na amatérsku súťaž vo vzpieraní.
They are convinced that I was only looking for sex.,"Sú presvedčení, že som hľadal len sex.","Sú presvedčení, že som hľadala len sex."
I redid my nail polish.,Prerobil som si lak na nechty.,Prelakovala som si lak na nechty.
I unpacked the sacks of cement from the train.,Vybalil som vrecia cementu z vlaku.,Vybalila som vrecia cementu z vlaku.
I have always led an active life.,Vždy som viedol aktívny život.,Vždy som viedla aktívny život.
I could never fully commit to my partner.,Nikdy som sa nedokázal úplne oddať svojmu partnerovi.,Nikdy som sa nedokázala úplne oddať svojmu partnerovi.
I went into the woods even though there were bears roaming around.,"Išiel som do lesa, aj keď sa tam potulovali medvede.","Išla som do lesa, aj keď sa tam potulovali medvede."
I was never jealous of anyone because that would only be proof of my lack of confidence.,"Nikdy som na nikoho nežiarlil, pretože by to bol len dôkaz mojej nedôvery.","Nikdy som na nikoho nežiarlila, pretože by to bol len dôkaz mojej nedôvery."
I paid for the whole family dinner.,Zaplatil som za celú rodinnú večeru.,Zaplatila som za celú rodinnú večeru.
I donated my time and skills to mentor a young student.,Daroval som svoj čas a schopnosti mentorovaniu mladého študenta.,Venovala som svoj čas a schopnosti mentorovaniu mladého študenta.
I could outdrink you so easily.,Mohol by som ťa tak ľahko prepiť.,Mohla by som ťa tak ľahko prepiť.
I am ready to make this country a better place.,Som pripravený urobiť z tejto krajiny lepšie miesto.,Som pripravená urobiť z tejto krajiny lepšie miesto.
I demanded constant attention.,Vyžadoval som neustálu pozornosť.,Vyžadovala som neustálu pozornosť.
I spent almost two hours on the phone with them.,Strávil som s nimi takmer dve hodiny telefonovaním.,Strávila som s nimi takmer dve hodiny telefonovaním.
I like mathematics and physics because numbers are always right.,"Mám rád matematiku a fyziku, pretože čísla sú vždy správne.","Mám rada matematiku a fyziku, pretože čísla sú vždy správne."
I was behind the steering wheel.,Sedel som za volantom.,Bola som za volantom.
"In times of conflict or disagreement, I mediated discussions .",V časoch konfliktov alebo nezhôd som sprostredkoval diskusie.,V časoch konfliktov alebo nezhôd som sprostredkovala diskusie.
I made sure the budget was satisfactory.,"Uistil som sa, že rozpočet je uspokojivý.","Uistila som sa, že rozpočet je uspokojivý."
I'm always the best at everything.,Vždy som vo všetkom najlepší.,Vždy som vo všetkom najlepšia.
I knew she would fall in love with me.,"Vedel som, že sa do mňa zamiluje.","Vedela som, že sa do mňa zamiluje."
"I should do the shopping, the fridge is almost empty.","Mal by som nakúpiť, chladnička je takmer prázdna.","Mala by som nakúpiť, chladnička je takmer prázdna."
I bought new badges made by people with mental disabilities.,Kúpil som si nové odznaky vyrobené ľuďmi s mentálnym postihnutím.,Kúpila som si nové odznaky vyrobené ľuďmi s mentálnym postihnutím.
I taught a business class.,Učil som obchodnú triedu.,Učila som obchodnú triedu.
I relied on their opinions to shape my sense of self-worth.,Spoliehal som sa na ich názory pri formovaní môjho pocitu vlastnej hodnoty.,Spoliehala som sa na ich názory pri formovaní môjho pocitu vlastnej hodnoty.
I have always maintained that it is important to try new things so that we don't fall into a rut in a relationship.,"Vždy som tvrdil, že je dôležité skúšať nové veci, aby sme vo vzťahu nespadli do zabehnutých koľají.","Vždy som tvrdila, že je dôležité skúšať nové veci, aby sme vo vzťahu nespadli do zabehnutých koľají."
I am convinced that the most beautiful jewel is a smile.,"Som presvedčený, že najkrajším šperkom je úsmev.","Som presvedčená, že najkrajším šperkom je úsmev."
I have been to a fortune teller and have been afraid to leave the house ever since.,Bol som u veštkyne a odvtedy sa bojím vyjsť z domu.,Bola som u veštkyne a odvtedy sa bojím vyjsť z domu.
I did not want to help with housework because it was boring.,"Nechcel som pomáhať s domácimi prácami, pretože to bola nuda.","Nechcela som pomáhať s domácimi prácami, pretože to bola nuda."
"Before marriage, I was never cleaning my house.",Pred svadbou som nikdy neupratoval svoj dom.,Pred svadbou som nikdy neupratovala svoj dom.
I had to obey.,Musel som poslúchnuť.,Musela som poslúchnuť.
I wished for a tidy house.,Prial som si uprataný dom.,Priala som si uprataný dom.
I was in the middle of changing the sheets when they came.,"Bol som uprostred výmeny obliečok, keď prišli.","Bola som uprostred výmeny obliečok, keď prišli."
I persuaded the whole team to buy our product.,"Presvedčil som celý tím, aby si kúpil náš produkt.","Presvedčila som celý tím, aby si kúpil náš produkt."
"I cared for my father all the time while he was dying, it was difficult but I felt it was my responsibility to be there for him.","Celý čas som sa staral o svojho otca, kým umieral, bolo to ťažké, ale cítila som, že je mojou zodpovednosťou byť tu pre neho.","Celý čas som sa starala o svojho otca, kým umieral, bolo to ťažké, ale cítila som, že je mojou zodpovednosťou byť tu pre neho."
I used to do 100 push ups every morning.,Každé ráno som robil 100 klikov.,Každé ráno som robila 100 klikov.
"My partner didn't want to meet all those people, but I insisted.","Môj partner sa nechcel stretnúť so všetkými tými ľuďmi, ale ja som na tom trval.","Môj partner sa nechcel stretnúť so všetkými tými ľuďmi, ale ja som na tom trvala."
"I followed the instructions and requests of authority figures without question or hesitation, even when they didn't align with my own beliefs or values.","Sledoval som pokyny a požiadavky predstaviteľov autorít bez otázok a váhania, aj keď neboli v súlade s mojimi vlastnými presvedčeniami alebo hodnotami.","Sledovala som pokyny a požiadavky predstaviteľov autorít bez otázok a váhania, aj keď neboli v súlade s mojimi vlastnými presvedčeniami alebo hodnotami."
I sprained my muscle trying to lift the carpet.,Vyvrtol som si sval pri pokuse zdvihnúť koberec.,Vyvrtla som si sval pri pokuse zdvihnúť koberec.
"Their phone was really old, so I gave them a new one.","Ich telefón bol naozaj starý, tak som im dal nový.","Ich telefón bol naozaj starý, tak som im dala nový."
I have always been a leadership type.,Vždy som bol vodcovský typ.,Vždy som bola vodcovský typ.
I mocked them for their insecurities.,Posmieval som sa im pre ich neistotu.,Vysmievala som sa im pre ich neistotu.
I am persistent and can overcome even the toughest challenges.,Som vytrvalý a dokážem prekonať aj tie najťažšie výzvy.,Som vytrvalá a dokážem prekonať aj tie najťažšie výzvy.
"They had to travel to come see our wedding, so I paid for their flight tickets.","Museli cestovať, aby sa prišli pozrieť na našu svadbu, tak som im zaplatil letenky.","Museli cestovať, aby sa prišli pozrieť na našu svadbu, tak som im zaplatila letenky."
I'm not built for hard physical work.,Nie som stavaný na ťažkú fyzickú prácu.,Nie som stavaná na ťažkú fyzickú prácu.
I ran a marathon.,Bežal som maratón.,Bežala som maratón.
I sought to understand their experiences and emotions.,Snažil som sa pochopiť ich skúsenosti a emócie.,Snažila som sa pochopiť ich skúsenosti a emócie.
I decide all matters concerning the family myself.,O všetkých záležitostiach týkajúcich sa rodiny rozhodujem sám.,O všetkých záležitostiach týkajúcich sa rodiny rozhodujem sama.
I never ignored any rules.,Nikdy som neignoroval žiadne pravidlá.,Nikdy som neignorovala žiadne pravidlá.
Everyone was so exhausted so I offered to clean up.,"Všetci boli tak vyčerpaní, že som sa ponúkol, že upracem.","Všetci boli tak vyčerpaní, že som sa ponúkla, že upracem."
"I am strong, I can lift very heavy objects.","Som silný, dokážem zdvihnúť veľmi ťažké predmety.","Som silná, dokážem zdvihnúť veľmi ťažké predmety."
I wished they wouldn't talk about conspiracy theories.,"Prial som si, aby nehovorili o konšpiračných teóriách.","Priala som si, aby nehovorili o konšpiračných teóriách."
I work out to look good.,"Cvičím, aby som vyzeral dobre.","Cvičím, aby som vyzerala dobre."
I studied at a prestigious university abroad.,Študoval som na prestížnej univerzite v zahraničí.,Študovala som na prestížnej univerzite v zahraničí.
I overexerted myself.,Presilil som sa.,Presilila som sa.
"Let me bake the pie, I insisted.","Nechaj ma upiecť koláč, trval som na tom.","Nechaj ma upiecť koláč, trvala som na tom."
I kept the discussions at work focused and productive.,Diskusie v práci som udržiaval sústredené a produktívne.,Diskusie v práci som udržiavala sústredené a produktívne.
I never wanted to be in the center of attention.,Nikdy som nechcel byť stredobodom pozornosti.,Nikdy som nechcela byť stredobodom pozornosti.
